date,utm_e,utm_n,stratum_full,year,period,pool,gear,secchi,temp,depth,cond,current,do,substrt,vegd,BLGL,FWDM,CARP,LMBS,ERSN,BKCP,SHRH,GZSD,WTBS,SFSN
1989-09-21,637010,4856532,Main Chann. Bord.,1989,3,08,T,NA,20.5,3.48,327,NA,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-09-21,637477,4855998,Main Chann. Bord.,1989,3,08,T,NA,20.5,3.46,327,NA,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-09-21,640785,4846220,Other,1989,3,08,T,NA,18.3,5.8,430,NA,NA,3,NA,0,0,0,0,0,0,0,1,0,0
1989-09-21,640846,4846569,Other,1989,3,08,T,NA,18.3,5.8,430,NA,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1990-08-27,637174,4856432,Main Chann. Bord.,1990,3,08,H,46,25.4,4.3,NA,0.31,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-27,637477,4855998,Main Chann. Bord.,1990,3,08,H,46,25.4,4.3,NA,0.31,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-28,636921,4857744,Main Chann. Bord.,1990,3,08,T,55,25.1,5,NA,0.45,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-28,636921,4857744,Other,1990,3,08,T,55,25.1,5.1,NA,0.45,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-28,637010,4856532,Main Chann. Bord.,1990,3,08,T,55,25.1,5.1,NA,0.45,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-28,637326,4856025,Other,1990,3,08,T,55,25.1,5,NA,0.45,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-28,637564,4855771,Other,1990,3,08,T,55,25.1,4.9,NA,0.45,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-28,637795,4855271,Other,1990,3,08,T,55,25.1,5,NA,0.45,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-29,532456,4939252,Other,1990,3,04,T,NA,0,3.4,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-29,532456,4939252,Other,1990,3,04,T,NA,0,2.1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
1990-08-29,532456,4939252,Other,1990,3,04,T,NA,0,3.1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
