occ,utm_e,utm_n,pool,period,secchi,temp,depth,cond,current,do
1,737258,4657501,13,1,90,27.4,0.9,363,0,10.4
0,738458,4656651,13,3,NA,NA,NA,NA,NA,NA
0,736758,4658451,13,3,NA,NA,NA,NA,NA,NA
0,737458,4660951,13,1,NA,NA,NA,NA,NA,NA
0,735658,4661001,13,1,NA,NA,NA,NA,NA,NA
1,737358,4657251,13,3,59,14.4,0.59,338,0,6.6
1,736658,4657851,13,3,56,15.3,0.56,357,0,9.7
1,736908,4659251,13,2,44,29.7,0.6,357,0,7.8
0,738258,4659201,13,3,NA,NA,NA,NA,NA,NA
1,736408,4657851,13,3,22,20.5,0.6,396,0,4.7
1,737158,4657801,13,1,130,27.7,1.4,320,0,4.5
1,736958,4657901,13,1,60,27.5,1,425,0,2.8
0,738758,4658351,13,1,NA,NA,NA,NA,NA,NA
1,737208,4657901,13,2,41,25,0.8,367,0,6.2
1,736808,4658401,13,2,80,28.7,0.7,363,0,5.9
0,738308,4658101,13,3,NA,NA,NA,NA,NA,NA
1,738108,4657401,13,3,68,15.2,0.68,352,0,11.9
1,736908,4658201,13,1,62,26.6,0.8,307,0,13.8
0,737558,4657251,13,3,NA,NA,NA,NA,NA,NA
1,737358,4657401,13,3,60,20.1,0.6,265,0,7.7
0,737308,4656401,13,3,NA,NA,NA,NA,NA,NA
1,736858,4659401,13,2,50,23.9,0.7,372,0,9.5
0,735758,4659851,13,2,NA,NA,NA,NA,NA,NA
1,737208,4657701,13,3,70,17.1,0.7,388,0,10.4
0,738208,4657551,13,2,NA,NA,NA,NA,NA,NA
0,736658,4658651,13,2,NA,NA,NA,NA,NA,NA
0,737058,4660651,13,1,78,25,0.78,271,0,15.3
0,737558,4656951,13,3,NA,NA,NA,NA,NA,NA
0,735708,4659901,13,2,NA,NA,NA,NA,NA,NA
0,735808,4657901,13,1,94,25.3,1,366,0,3
0,737358,4657201,13,1,60,25,1.4,354,0,7.4
1,735408,4661151,13,3,28,17.1,1.2,398,0.09,6.4
0,735358,4661301,13,3,35,16.1,1,459,0,6.3
1,735458,4661351,13,3,33,18.9,0.8,463,0,7.7
0,733708,4662251,13,3,NA,NA,NA,NA,NA,NA
1,734808,4661301,13,2,62,24.5,1,411,0,6.2
1,734608,4661701,13,1,50,23.9,1.4,383,0.23,6.3
1,734608,4661851,13,1,50,23.9,14,383,0.22,6.9
1,734908,4660901,13,3,35,16.6,1.1,422,0,7.4
0,735058,4661001,13,3,NA,NA,NA,NA,NA,NA
0,734808,4662351,13,2,NA,NA,NA,NA,NA,NA
1,735058,4660501,13,2,30,25.3,0.7,305,0,6.7
1,734908,4661201,13,1,92,26.4,1.2,313,0,7.1
0,735058,4662351,13,3,NA,NA,NA,NA,NA,NA
0,735058,4662351,13,1,NA,NA,NA,NA,NA,NA
1,735058,4660951,13,1,71,26.6,1.3,460,0,5.2
1,734608,4661651,13,2,92,25.1,1.2,405,0,1.1
1,734858,4660551,13,2,52,27,0.8,409,0,7
0,735208,4660551,13,2,NA,NA,NA,NA,NA,NA
0,735008,4662601,13,2,NA,NA,NA,NA,NA,NA
0,735058,4660951,13,3,NA,NA,NA,NA,NA,NA
1,734808,4661301,13,1,110,26.8,1.1,451,0,5.8
1,734658,4661601,13,1,48,23.2,1.1,402,0,4.4
0,735008,4662501,13,1,NA,NA,NA,NA,NA,NA
0,734608,4661651,13,3,NA,NA,NA,NA,NA,NA
0,734808,4662301,13,2,NA,NA,NA,NA,NA,NA
0,734958,4661051,13,2,NA,NA,NA,NA,NA,NA
1,735208,4660351,13,1,66,27.5,0.7,442,0,9.8
1,735208,4660251,13,1,52,28.1,0.8,441,0,9.6
0,735058,4662351,13,1,NA,NA,NA,NA,NA,NA
1,734658,4662401,13,1,72,26.4,1.5,390,0,5.2
1,733458,4662501,13,3,41,17.5,0.7,408,0,9
0,732808,4663201,13,2,NA,NA,NA,NA,NA,NA
1,732608,4663601,13,3,59,20.4,0.7,402,0,12.2
1,733258,4662401,13,3,41,14.5,0.8,407,0,13.5
1,732758,4662651,13,2,32,25.8,0.6,375,0,7.6
1,733258,4662401,13,3,42,17.3,0.8,404,0,9.6
0,733458,4664201,13,3,NA,NA,NA,NA,NA,NA
1,733058,4662051,13,3,42,17.1,1,410,0,9.6
